client_id,Variation
6884073,Control
4780398,Control
2152873,Control
9129878,Control
4023943,Control
521003,Control
464620,Control
1596808,Control
6578023,Control
9595233,Control
6793640,Control
409450,Control
2802293,Control
6911162,Control
2035117,Control
6362594,Control
8462755,Control
766467,Control
7829434,Control
1003061,Control
4516267,Control
71476,Control
5599391,Control
864721,Control
837625,Control
1735341,Control
3216999,Control
9542949,Control
9894399,Control
934442,Control
4363111,Control
9340301,Control
9967085,Control
9573768,Control
160938,Control
2674649,Control
3399215,Control
6804613,Control
7471769,Control
65845,Control
1732360,Control
6591984,Control
2044842,Control
5457890,Control
6455115,Control
180404,Control
2622312,Control
8962467,Control
6061376,Control
3570669,Control
7477624,Control
6282795,Control
6324067,Control
5432649,Control
331379,Control
287756,Control
3495059,Control
1949154,Control
4219577,Control
7688646,Control
8728382,Control
7463451,Control
7543252,Control
6191302,Control
3531620,Control
7283635,Control
7680107,Control
2133839,Control
3016724,Control
161491,Control
6106468,Control
3239523,Control
5322608,Control
9128593,Control
4706669,Control
6431498,Control
5841499,Control
3703282,Control
3571495,Control
451443,Control
8463084,Control
3836344,Control
3669611,Control
8939444,Control
5644756,Control
4305565,Control
5089039,Control
8965532,Control
8753196,Control
6407208,Control
2796936,Control
4087981,Control
1324064,Control
637858,Control
9638466,Control
1527623,Control
9603341,Control
3418762,Control
2353193,Control
4917803,Control
6742624,Control
1758566,Control
9716117,Control
9416337,Control
8201398,Control
5715241,Control
6388327,Control
8696157,Control
4744245,Control
9612831,Control
233601,Control
8482662,Control
174806,Control
5919352,Control
7397258,Control
1311965,Control
37408,Control
269636,Control
5472730,Control
2825830,Control
9740561,Control
7024149,Control
6379127,Control
7602354,Control
6019257,Control
9750016,Control
1756663,Control
6267076,Control
196053,Control
6741529,Control
5060221,Control
2968554,Control
3132213,Control
152356,Control
8097000,Control
2363857,Control
31502,Control
6494639,Control
8136342,Control
3874722,Control
7276456,Control
2563749,Control
8597519,Control
8254513,Control
775176,Control
1842343,Control
329631,Control
4542043,Control
7957690,Control
8069676,Control
7344865,Control
825852,Control
2712519,Control
5738894,Control
2806504,Control
282077,Control
3770237,Control
6195846,Control
1900411,Control
5662925,Control
8705202,Control
981888,Control
8902463,Control
7583640,Control
8413740,Control
8171000,Control
5112619,Control
5057948,Control
6932133,Control
2558031,Control
6601606,Control
9993047,Control
2077336,Control
7031386,Control
254491,Control
7923876,Control
1154031,Control
1662843,Control
5790286,Control
823482,Control
3673713,Control
770147,Control
6396865,Control
6571403,Control
8014451,Control
685442,Control
3188445,Control
3449302,Control
8182204,Control
8627381,Control
8151693,Control
6168374,Control
5555638,Control
41516,Control
5552819,Control
2763758,Control
240400,Control
7143633,Control
6735099,Control
9404539,Control
9923389,Control
503051,Control
6542682,Control
2572041,Control
5875727,Control
4914129,Control
2010851,Control
6623614,Control
9101443,Control
353727,Control
379137,Control
2898817,Control
786681,Control
941279,Control
581882,Control
2937724,Control
773462,Control
7893040,Control
3423690,Control
2153015,Control
8538953,Control
6490503,Control
515712,Control
2395001,Control
533320,Control
118415,Control
270682,Control
3407926,Control
2620242,Control
8671775,Control
8486603,Control
4187527,Control
356783,Control
6796179,Control
1636131,Control
9618925,Control
6199688,Control
6340179,Control
6343693,Control
7538120,Control
148037,Control
7852915,Control
963164,Control
3592062,Control
6292773,Control
6949668,Control
7059321,Control
5609004,Control
4296623,Control
2387182,Control
3382714,Control
9772972,Control
4752282,Control
2482224,Control
8115079,Control
6571686,Control
4391047,Control
4350833,Control
8166616,Control
7136865,Control
9409908,Control
8985316,Control
5777036,Control
5261313,Control
6255565,Control
6253802,Control
5968033,Control
144773,Control
1770552,Control
4852240,Control
5625895,Control
6581703,Control
7044580,Control
8002672,Control
4646433,Control
9816717,Control
5598911,Control
8498591,Control
7385999,Control
5757723,Control
4992306,Control
1181777,Control
204361,Control
4972552,Control
5021259,Control
2411318,Control
267299,Control
1667795,Control
1830511,Control
7511654,Control
9424502,Control
1194408,Control
3710720,Control
612481,Control
428188,Control
5469096,Control
5037795,Control
1759261,Control
673672,Control
3698628,Control
9787741,Control
1032721,Control
4453547,Control
7013769,Control
86616,Control
8514305,Control
3077416,Control
7803457,Control
9041483,Control
4373203,Control
7470426,Control
1051377,Control
9198825,Control
9709954,Control
6126502,Control
7054527,Control
8767041,Control
3766933,Control
7582587,Control
822741,Control
7991318,Control
5316428,Control
9100219,Control
4674528,Control
3927920,Control
8635406,Control
4777945,Control
7451853,Control
7182819,Control
3385688,Control
356363,Control
3640838,Control
882187,Control
9031350,Control
9481495,Control
5844424,Control
9907037,Control
2794902,Control
9244149,Control
8881398,Control
2545621,Control
607427,Control
2700187,Control
1810029,Control
6226635,Control
9750214,Control
1459001,Control
2477549,Control
7512804,Control
3831166,Control
8586276,Control
4028430,Control
9010076,Control
6444330,Control
3788589,Control
2466669,Control
3250807,Control
2549128,Control
6028020,Control
1986539,Control
5865838,Control
8875616,Control
242922,Control
7590603,Control
2287580,Control
3923067,Control
5412643,Control
6822246,Control
7686541,Control
1892368,Control
6149800,Control
6983917,Control
9996404,Control
480944,Control
4701960,Control
3154922,Control
3173824,Control
1176152,Control
7277156,Control
1675926,Control
591482,Control
5341221,Control
3069127,Control
9002320,Control
3387213,Control
6630494,Control
5570866,Control
4582892,Control
